,Accuracy,Precision,Recall,F1
Logistic Regression,0.5727272727272728,0.5553235854431506,0.5727272727272728,0.5565240262881772
Random Forest,0.5772727272727273,0.5808050123047696,0.5772727272727273,0.5749553758663645
Gradient Boosting,0.5636363636363636,0.5648398852732891,0.5636363636363636,0.5580359205386588
